cor,depth,alpha
0.918458975822348,5,4.9
0.918458975822348,5,5
0.918458975822347,5,2.4
0.918458975822316,5,2.3
0.918458975820287,5,2.2
0.918458975748628,5,2.1
0.918458974446155,5,2
0.918458970001118,5,1.9
0.908167609903444,5,0.7
0.883227943020633,5,0.6
0.858463530884028,5,0.5
0.835019739972715,5,0.4
0.813312380901823,5,0.3
0.793405060311377,5,0.2
0.775210869415576,5,0.1
0.758588917355498,5,0
